Car Model,Brand,Year,Price,Engine Type,Fuel Type,Mileage (MPG),Color,Transmission,Location
Research Deep,Mercedes,2004,16062,V8,Diesel,40.22824873481349,Blue,Automatic,Andreahaven
Though Him,Mercedes,2020,10607,Inline-4,Electric,35.24661527388025,Gray,Manual,South Jason
Seven Quality,Honda,2017,37284,Turbo,Petrol,35.401734220330894,Silver,Automatic,South Brandon
Hour Every,Mercedes,2015,45663,Inline-4,Hybrid,22.98837716758211,Yellow,Manual,Jessicabury
Some Hope,Hyundai,2002,27253,Turbo,Hybrid,15.10422583547329,Black,Manual,North Patrickville
Important Represent,BMW,2021,35286,Turbo,Electric,19.381759447462567,Green,Manual,Port Cassandrastad
Site Certain,Chevrolet,2019,44543,Electric,Electric,18.953302817500337,Red,Manual,South Susan
Close Thought,Hyundai,2010,43192,V6,Electric,44.165355681326844,White,Automatic,New Andrewberg
Skill Director,Audi,2016,43294,V8,Petrol,18.40530340349457,Silver,Automatic,East Tammyton
Consider Magazine,Hyundai,2012,20691,V6,Petrol,15.345577477860692,Red,Manual,Greenetown
General Give,Honda,2009,9292,V6,Electric,31.73471874813516,Silver,Automatic,Port Jennifer
Report Interesting,Mercedes,2021,48422,Electric,Hybrid,23.042417689756782,Silver,Manual,Smithland
Especially Budget,Honda,2008,26170,Electric,Electric,34.379130766280454,White,Manual,Pamelafurt
Actually Trip,Tesla,2006,36101,V8,Hybrid,34.30820759592787,Black,Manual,Martinezside
Product Whose,Hyundai,2007,28091,Inline-4,Hybrid,32.21692258809654,Green,Automatic,Port Ricardo
Chance Little,BMW,2018,46422,Turbo,Hybrid,22.252503167019405,Silver,Automatic,Morseville
Though Many,Hyundai,2010,24159,V6,Petrol,41.77856072864904,Red,Automatic,Lake Alexandra
Organization Or,BMW,2004,48779,V6,Petrol,15.694633012821054,Blue,Manual,Austinview
Near Yet,BMW,2021,10516,V8,Diesel,39.72750595034941,Yellow,Manual,Barreraland
South Kind,Hyundai,2005,49243,Electric,Diesel,15.772616609515499,Green,Manual,Williamshaven
Situation Month,Hyundai,2009,9902,V6,Diesel,43.390131871539026,Blue,Manual,Ericmouth
Produce Administration,Hyundai,2002,16068,V8,Diesel,29.721922298674542,White,Manual,Kimberlyfort
She Few,Audi,2017,5403,V8,Electric,16.90484321331416,Red,Manual,West Tonyafurt
Long Fill,Tesla,2005,26621,Turbo,Hybrid,15.468679551981811,Gray,Automatic,Obrienland
Nature Easy,Honda,2013,20754,Turbo,Petrol,19.542968150219334,Green,Manual,Curtisburgh
Become Task,Audi,2021,9218,V6,Petrol,43.65108910477937,Green,Manual,Port Molly
Feel Ask,Nissan,2009,46727,Inline-4,Petrol,39.56885849630372,Green,Automatic,Garciafurt
Include Against,Honda,2014,9523,V6,Diesel,40.63901731053616,Green,Automatic,New James
Although We,Ford,2020,43065,Electric,Hybrid,39.24561011635409,Red,Automatic,Amyborough
Statement Trip,Ford,2014,46778,Electric,Petrol,38.29207662661463,Green,Manual,Morganmouth
College Maintain,Chevrolet,2009,14572,V6,Petrol,16.38585310171794,Blue,Automatic,Gonzalezland
Choice Last,Hyundai,2021,15358,Inline-4,Diesel,28.61442764873661,White,Manual,South Kimberlyview
Drug Opportunity,BMW,2022,15570,Inline-4,Hybrid,43.6540085814446,Yellow,Automatic,East Tammy
Third Culture,BMW,2007,27391,Turbo,Diesel,30.50547239088383,White,Manual,Laurenville
Surface Boy,Hyundai,2012,24553,V6,Electric,43.16046399316109,Gray,Automatic,Philipberg
Audience Operation,Mercedes,2005,39206,V6,Diesel,41.55431006969449,Blue,Manual,New Scottland
Describe Beautiful,Tesla,2013,29529,Turbo,Petrol,26.42091286572422,White,Automatic,Lake Erin
Two Process,Chevrolet,2015,7694,Inline-4,Diesel,27.91456837103864,White,Manual,Samanthaville
Wish Visit,Ford,2001,12088,V6,Petrol,39.92514422231963,Yellow,Automatic,Dixonchester
Yeah Political,Audi,2011,45620,Turbo,Electric,28.87233807883255,Silver,Manual,Gilmoreport
Style Far,Nissan,2008,25824,V8,Electric,27.63207077860561,Yellow,Manual,East Joseph
Company Certain,Chevrolet,2009,34388,V6,Petrol,22.917430020818923,Gray,Manual,West Zacharytown
Believe Control,Honda,2024,31931,Electric,Diesel,43.26972413245605,Blue,Manual,Lake Daniel
Ask Her,Nissan,2016,35253,Turbo,Electric,24.451535058587467,White,Manual,North Ricardo
Light Do,Mercedes,2024,27626,Turbo,Petrol,16.00343724488588,Yellow,Manual,New Danielle
Near Thank,Mercedes,2015,12678,Turbo,Hybrid,19.395069162110502,Green,Manual,Lake Isaac
Cut Through,Tesla,2004,34810,V8,Electric,16.89203420846998,Yellow,Automatic,Lake Cynthia
Know Air,Audi,2012,23545,V8,Diesel,28.731445084525586,White,Manual,Andrewside
Blue Car,Toyota,2000,19401,Inline-4,Diesel,40.74967044758051,Gray,Manual,Christopherchester
Establish Yeah,Honda,2003,31917,V8,Petrol,26.81173708095382,Blue,Manual,Kevinfurt
Avoid Rest,Chevrolet,2022,27616,V8,Petrol,33.99494472379107,Black,Manual,Melindachester
Raise Hold,Tesla,2014,33268,V6,Electric,17.271073306238904,Red,Manual,North Thomas
Message Story,Ford,2006,37643,V6,Electric,34.08732768275722,Silver,Manual,Brianshire
Around Develop,Audi,2003,42643,Turbo,Petrol,33.45665165534842,Gray,Automatic,Mendozaport
Mother Early,Tesla,2000,29786,Turbo,Diesel,24.915950470834233,Red,Automatic,South Kristinaville
Occur Staff,Honda,2001,25998,Inline-4,Electric,44.2613791587199,Green,Manual,Riosberg
Business Sign,Mercedes,2022,26449,Turbo,Petrol,25.083635678308255,Silver,Manual,Kaylastad
Fund Travel,Nissan,2023,24022,Inline-4,Petrol,23.206151885395975,Black,Manual,Carlosview
Poor Myself,Tesla,2007,10999,Turbo,Diesel,28.713324250739312,Red,Manual,New Jennifer
Direction Class,Tesla,2016,17185,V8,Electric,26.571153546387485,Black,Automatic,East Andrewfurt
Use Image,BMW,2025,37771,Inline-4,Hybrid,43.90197528131847,Blue,Manual,Greenburgh
Possible From,Ford,2022,23319,Turbo,Petrol,15.462913011212379,Green,Manual,Leachburgh
Focus Much,Hyundai,2013,42456,Electric,Hybrid,27.7216341042323,Gray,Manual,Thompsonstad
Skin Section,Mercedes,2014,39012,V6,Electric,20.947631124528208,White,Automatic,Port Jaymouth
Those Fire,Honda,2017,35043,Turbo,Hybrid,43.042746731778124,Gray,Automatic,New Christopherland
Miss Myself,Audi,2014,20302,Inline-4,Hybrid,34.57014759877738,Black,Automatic,Kevinview
Option Someone,Nissan,2005,17806,Electric,Petrol,40.6735094332928,Gray,Automatic,Scottbury
North Very,Toyota,2021,40176,V8,Petrol,27.273662098645264,Gray,Automatic,New Lisa
Accept Let,Audi,2023,23956,Turbo,Electric,19.554759245253756,Red,Automatic,East Jenniferburgh
Cut Effort,BMW,2011,8879,Inline-4,Petrol,28.224674706565153,Black,Manual,Shermanberg
Lose Cost,Audi,2024,17030,V8,Electric,35.00614716506845,Green,Manual,Robertbury
Everything Ok,Hyundai,2004,21862,Inline-4,Hybrid,20.584860245069486,Yellow,Manual,South Chadbury
Represent Suggest,Ford,2018,7745,V8,Hybrid,38.414023764764,Gray,Manual,Port Patriciatown
Staff Ever,Nissan,2024,41453,V6,Electric,30.277212312704524,Black,Automatic,Benjaminton
Staff End,Audi,2008,33308,V8,Diesel,35.159296915890295,Blue,Manual,Catherineview
Program Customer,Honda,2013,44529,Turbo,Petrol,43.69963522894957,Green,Automatic,Lake Rileystad
Sit Organization,Chevrolet,2009,29193,V6,Petrol,26.341224199589586,Blue,Automatic,Morenoville
Green Remain,Honda,2024,33722,Electric,Diesel,20.6869605056402,Green,Manual,Gardnerview
Range Task,Mercedes,2011,13204,Inline-4,Diesel,18.86566185952805,Silver,Automatic,Kathleenburgh
Arrive Computer,Toyota,2012,19741,Electric,Electric,26.848838660142686,Black,Manual,Gregoryville
Machine Air,Nissan,2002,49348,Electric,Petrol,23.49736875553136,Yellow,Automatic,Port Ashleyfurt
Think Table,BMW,2001,32337,Turbo,Petrol,38.83246720266642,White,Automatic,Gibsonside
Bill Perform,Hyundai,2021,14217,V8,Hybrid,29.429709611715992,Gray,Automatic,Noahtown
Alone Deal,Mercedes,2019,10144,Inline-4,Hybrid,18.071128257632875,Silver,Manual,West Andrea
Kid Establish,Hyundai,2009,21263,V6,Electric,40.186172338337926,Green,Automatic,Port Mary
Lead Ever,Hyundai,2002,27352,Turbo,Electric,29.56484461515132,Yellow,Manual,Port Richard
Public Among,Mercedes,2014,43372,V8,Electric,16.610115015627592,Blue,Manual,Cameronmouth
Baby Building,Nissan,2019,43324,Turbo,Diesel,26.584838100172114,Gray,Automatic,Noahfort
Manager Government,Ford,2015,30271,Electric,Hybrid,25.860720953482403,Black,Automatic,Smithberg
Down Adult,Honda,2024,49167,V6,Diesel,40.401986813073805,Blue,Manual,West Regina
Physical Have,Honda,2009,36735,V8,Electric,29.431090881782097,Black,Automatic,South Kevinfurt
Successful Court,Nissan,2024,29646,Electric,Petrol,24.97650512869356,Red,Manual,Vincentberg
Get Street,Honda,2007,34225,Inline-4,Diesel,21.9072845316403,Yellow,Manual,Mejiabury
Tough International,Tesla,2013,21057,V6,Hybrid,37.880707741537904,Green,Manual,Rosebury
Response Behind,Audi,2025,22871,V6,Hybrid,19.36755617527157,Black,Automatic,North Wendy
Although Law,Nissan,2025,45513,Inline-4,Electric,38.62884193269463,Green,Automatic,South Michellehaven
Set Dinner,Mercedes,2025,48681,Turbo,Hybrid,28.13741440714827,White,Manual,Barbaraton
Action Production,BMW,2025,35874,Turbo,Diesel,38.28723842451521,Black,Manual,Booneburgh
Show Party,Audi,2019,10468,Inline-4,Diesel,15.82827921462507,Gray,Manual,Lake Jeremy
Court Space,Honda,2017,30746,Electric,Electric,34.60389932919207,Black,Automatic,South Karen
Month Area,BMW,2006,6314,Electric,Hybrid,33.86783017135885,Green,Manual,Penningtonberg
Project Professional,BMW,2006,16425,Inline-4,Petrol,38.719395409437084,White,Manual,Port Kristin
Lead Election,BMW,2008,5516,Turbo,Petrol,18.112596857777984,Blue,Manual,East Lisabury
Live What,Mercedes,2019,19453,V8,Electric,27.356635952303936,Silver,Manual,Huntborough
Reason Remember,Tesla,2011,38274,Turbo,Hybrid,22.895679153303615,Red,Automatic,Moranview
Money Film,Nissan,2007,12721,Turbo,Petrol,39.76456656702425,Black,Manual,Josephberg
According Maintain,Hyundai,2020,19718,Turbo,Electric,21.920126909250747,White,Automatic,North Jaime
People Writer,Hyundai,2024,27790,V6,Petrol,33.50685381284527,White,Automatic,Christopherborough
Eye Though,Audi,2025,17904,Inline-4,Hybrid,27.71453751872718,Red,Automatic,West Christine
Color Better,Tesla,2009,40681,Inline-4,Electric,38.184709236971344,Silver,Automatic,Lisamouth
Article Go,Chevrolet,2013,29377,Inline-4,Hybrid,22.515689373623303,Green,Automatic,Greenborough
Usually Affect,Tesla,2006,37995,V6,Petrol,16.889147194848785,White,Manual,East Brian
Meet Sign,Toyota,2021,28970,Turbo,Electric,24.64305512522072,Green,Automatic,Daystad
And Will,BMW,2001,17838,V8,Electric,17.324600849576644,Yellow,Automatic,North Spencer
Because Up,Chevrolet,2005,36580,Inline-4,Petrol,23.069662318433757,White,Manual,Andrewsside
Single Glass,Honda,2008,40089,Turbo,Diesel,31.154980486990947,Green,Automatic,West Cheryl
He Own,Hyundai,2013,39150,V6,Hybrid,35.64200628251129,Blue,Automatic,East Amanda
Group Operation,Tesla,2018,9555,V6,Hybrid,39.262996188984644,Gray,Automatic,Morrishaven
Minute Discover,Audi,2008,23049,V6,Electric,42.242726841346425,White,Automatic,North Richardmouth
Such Quality,Honda,2016,44202,Electric,Electric,26.15516658582242,Green,Manual,West Kelly
By Daughter,Toyota,2005,40939,Inline-4,Diesel,17.119176619771626,Black,Manual,West Patrick
Himself Staff,Nissan,2019,30175,V8,Hybrid,38.20813629273041,Green,Manual,West Jessicaton
Director Food,Ford,2019,28333,Electric,Hybrid,18.755461752465504,White,Automatic,Katherineton
Community Whole,Ford,2018,25661,Inline-4,Electric,31.58018510364188,Gray,Automatic,Andrewberg
Fill Girl,Toyota,2025,19023,Electric,Electric,33.822384114660686,Red,Manual,East Christinaview
Entire Spend,Toyota,2022,24382,Inline-4,Electric,16.603896224131404,Red,Manual,New Julie
Suddenly Entire,Hyundai,2013,31889,V8,Diesel,39.37301759958331,Silver,Automatic,Port Jeffreyport
Mention Company,Mercedes,2003,38015,V8,Diesel,38.94949578173439,Gray,Manual,Hernandezchester
Report Order,Honda,2009,32941,Electric,Electric,20.510195481198878,Black,Automatic,Freemanville
Something Mean,Nissan,2005,22754,Inline-4,Hybrid,30.87083250082279,Yellow,Manual,Youngchester
Congress During,Toyota,2020,29996,Turbo,Hybrid,28.639957303944353,Red,Manual,Michellehaven
Series Cell,BMW,2013,8724,V6,Diesel,27.613917237313995,Black,Manual,Smithmouth
Town Base,Tesla,2001,6289,V6,Electric,29.837463164664072,Gray,Automatic,West Kathy
Away News,Tesla,2003,26108,Turbo,Diesel,34.288817095372444,White,Automatic,Port Emily
A Bad,Hyundai,2002,7400,Inline-4,Hybrid,19.035869538973515,Silver,Automatic,Port Robertfort
Really Chance,Tesla,2006,21393,Electric,Hybrid,21.443200825169882,Black,Automatic,Pettyfurt
Area Type,Nissan,2017,38029,V8,Petrol,34.0884288685556,Blue,Manual,Cindyborough
Accept Many,Chevrolet,2022,7243,Inline-4,Hybrid,44.671120805084485,White,Automatic,South Andreaborough
Hear Main,Tesla,2017,48022,V6,Hybrid,36.20355678074368,Blue,Automatic,West Jonhaven
Street Significant,Ford,2017,23577,Turbo,Hybrid,28.485527129672526,Red,Automatic,Parkerhaven
Certainly Until,Nissan,2001,33159,V6,Diesel,40.81197511084239,Green,Manual,Wrighthaven
Avoid Quickly,Toyota,2018,27997,Inline-4,Petrol,21.81949319249879,Black,Manual,Alexisview
Identify Likely,Nissan,2015,48200,Inline-4,Diesel,16.889507453529067,Gray,Automatic,North Janeton
Voice And,Tesla,2008,28396,V6,Diesel,34.45699990910115,Green,Automatic,Singhside
Doctor Nice,Tesla,2021,19099,V6,Petrol,36.05524026702919,Red,Manual,Lake Justinview
Serve Gas,Nissan,2013,42850,V6,Electric,41.18357690003724,Red,Manual,Hollandberg
Her Fire,BMW,2021,37385,V8,Petrol,36.15515466186608,Yellow,Automatic,Lake George
Difference Note,Toyota,2000,21902,V8,Diesel,17.806117135028384,Green,Manual,Nathanielburgh
Summer Full,Nissan,2004,18716,Turbo,Diesel,33.586262806562814,Yellow,Manual,Amyhaven
Want Door,BMW,2000,41960,V8,Diesel,32.62902134512471,Gray,Automatic,East Elaine
Fish Do,Mercedes,2019,36008,Electric,Hybrid,22.211021416731924,Gray,Automatic,Lewismouth
